,base_market,quote_market,hedge_ratio,half_life
0,BTC-USD_x,BTC-USD_y,1.0000000000000036,9.752089439785653
1,BTC-USD_x,DOGE-USD,363296.54461359244,10.869098133926903
2,BTC-USD_x,BCH-USD,120.43691100970881,8.891448934549409
3,BTC-USD_x,USA-USD,1464551943.9183977,12.65175659547928
4,BTC-USD_x,PONKE-USD,57133.43781295572,9.114435959541444
5,BTC-USD_x,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-35227830555.22134,9.3518931950576
6,BTC-USD_y,DOGE-USD,363296.54461359244,10.869098133926903
7,BTC-USD_y,BCH-USD,120.43691100970881,8.891448934549409
8,BTC-USD_y,USA-USD,1464551943.9183977,12.65175659547928
9,BTC-USD_y,PONKE-USD,57133.43781295572,9.114435959541444
10,BTC-USD_y,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-35227830555.22134,9.3518931950576
11,ETH-USD,SC-USD,-152866.70780607505,13.735622977423619
12,ETH-USD,BOME-USD,43245.924540683336,13.66949929565815
13,ETH-USD,PONKE-USD,2140.146241386359,11.66066512655916
14,ETH-USD,TAO-USD,1.0469137198874474,17.15202367958657
15,ETH-USD,THETA-USD,-907.996840749058,16.873048862092958
16,ETH-USD,FTM-USD,-7676.728955845572,15.794704565685798
17,ETH-USD,NOT-USD,-73347.60481211008,17.00392106250638
18,ETH-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-1312613689.8762395,11.76534550611633
19,LINK-USD,UNI-USD,0.07892393202257279,23.096657432702354
20,LINK-USD,TRX-USD,-29.201827309445385,18.888493520001425
21,LINK-USD,WLD-USD,0.6633805595040156,21.27578813852224
22,LINK-USD,APT-USD,0.06916792058718449,21.529122736744377
23,LINK-USD,ARB-USD,15.95671860627175,7.431863723440783
24,LINK-USD,SUI-USD,0.20291254964018945,22.47695714893988
25,LINK-USD,TRUMP-USD,0.1146849536651176,22.129344902379557
26,LINK-USD,TREMP-USD,-0.4887299934845032,22.08460967822026
27,LINK-USD,BLAST-USD,-624.66905422633,20.962528847233788
28,LINK-USD,DJT-USD,-16540.88437511991,23.599009845496145
29,LINK-USD,IO-USD,0.9227194222217715,16.05495835889231
30,LINK-USD,SC-USD,-234.71195990579795,20.316480581916842
31,LINK-USD,BOME-USD,74.54438953883728,19.621139080130675
32,LINK-USD,USA-USD,69321.54646623656,20.986714699547036
33,LINK-USD,PONKE-USD,2.956397408549984,20.061588145883885
34,LINK-USD,DAI-USD,17.812227904464322,22.48013161795137
35,LINK-USD,KAS-USD,5.8278162493417955,20.96252884723381
36,LINK-USD,XMR-USD,-0.007382930289916066,21.310100077549038
37,LINK-USD,IMX-USD,0.5222297701107026,22.030927541994057
38,LINK-USD,VET-USD,28.12852523377558,21.99904029047425
39,LINK-USD,TAO-USD,0.0015841890474892944,20.643517623740106
40,LINK-USD,AR-USD,0.019557344827546837,22.480131617951773
41,LINK-USD,THETA-USD,-1.366621855197553,20.57812578941583
42,LINK-USD,FTM-USD,-11.331805835491732,20.346665692572348
43,LINK-USD,NOT-USD,-110.697214418518,20.60975719811279
44,LINK-USD,FLR-USD,182.41043624465357,20.842297082222533
45,LINK-USD,EGO-USD,173.20260376346687,22.105070389325522
46,LINK-USD,TRUMPWIN-USD,1.1432008386981374,21.54184166262339
47,LINK-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-2029664.771349094,19.963934884735245
48,LINK-USD,TRY-USD,526.1278994277548,21.664882207740288
49,MATIC-USD,CRV-USD,0.025761869286121522,4.129645584513294
50,MATIC-USD,ADA-USD,0.020517763794604668,4.16242884890572
51,MATIC-USD,AVAX-USD,8.082219051579501e-05,4.193066431760112
52,MATIC-USD,FIL-USD,0.00171477409241577,4.189778219752681
53,MATIC-USD,DOGE-USD,0.016073018161163466,4.196025135451432
54,MATIC-USD,ATOM-USD,0.0007317689660427938,4.192513598754212
55,MATIC-USD,DOT-USD,0.0015541811103332095,4.189865685069163
56,MATIC-USD,NEAR-USD,0.0006055257134263735,4.183144957828883
57,MATIC-USD,XLM-USD,0.07905466837629527,4.178325408090834
58,MATIC-USD,ETC-USD,0.0004719993734457194,4.196784286340006
59,MATIC-USD,COMP-USD,0.00016954872789141158,4.174295485198381
60,MATIC-USD,WLD-USD,0.00013395375413373899,4.190227013887535
61,MATIC-USD,APE-USD,0.005627168480617596,4.182320987942752
62,MATIC-USD,APT-USD,6.265486488662964e-05,4.196081910608988
63,MATIC-USD,ARB-USD,0.006766243902439566,4.184510145785302
64,MATIC-USD,LDO-USD,0.0017214137345578692,4.1734988107508935
65,MATIC-USD,OP-USD,0.0014780814794432343,4.191080208178463
66,MATIC-USD,PEPE-USD,177.792682643278,4.193073812766847
67,MATIC-USD,SEI-USD,0.003048975815004726,4.18838502979722
68,MATIC-USD,SHIB-USD,200.39107045080323,4.205911059808364
69,MATIC-USD,SUI-USD,0.0003986275460219329,4.198024918068676
70,MATIC-USD,XRP-USD,0.003773553796639413,4.175798792890711
71,MATIC-USD,TIA-USD,0.00011990407523931423,4.188565636798046
72,MATIC-USD,DEGEN-USD,-0.010268286019568112,4.185956297054287
73,MATIC-USD,MOG-USD,-37601.34202198591,4.181202761079546
74,MATIC-USD,TRUMP-USD,5.118657241441485e-05,4.188716212995421
75,MATIC-USD,TREMP-USD,0.00019299015449458085,4.1917702795877405
76,MATIC-USD,ZRO-USD,0.0005805130803656694,4.177774166152989
77,MATIC-USD,ZK-USD,0.022760864780164813,4.180575947504594
78,MATIC-USD,BLAST-USD,-0.04005568889213418,4.188864932778925
79,MATIC-USD,DJT-USD,4.172972370043567,4.19218428645982
80,MATIC-USD,IO-USD,-0.00030730849599594143,4.185644126517807
81,MATIC-USD,SC-USD,0.01477824269411343,4.188647319606601
82,MATIC-USD,BOME-USD,-0.00648402642958168,4.187313913751913
83,MATIC-USD,USA-USD,-1.4003157423098855,4.188888166239874
84,MATIC-USD,PONKE-USD,-0.000513274310537444,4.188482601147248
85,MATIC-USD,MEW-USD,-0.04712509281121502,4.1906915332606625
86,MATIC-USD,MICHI-USD,-0.0002529638031117179,4.186534132082993
87,MATIC-USD,TON-USD,0.0012104737265046083,4.168732420455241
88,MATIC-USD,DAI-USD,-0.0025322003202843946,4.189974934137278
89,MATIC-USD,KAS-USD,0.00037369738908064193,4.188864932778925
90,MATIC-USD,ICP-USD,0.0005133806210504974,4.1670683443465135
91,MATIC-USD,XMR-USD,-2.015045186104763e-06,4.1893429252276455
92,MATIC-USD,RENDER-USD,0.00029274430863812087,4.181104908852276
93,MATIC-USD,HBAR-USD,0.0018867401708718146,4.189985754371904
94,MATIC-USD,OKB-USD,-1.6699147409520148e-05,4.1849088489899495
95,MATIC-USD,STX-USD,0.002285554018415757,4.192022696696775
96,MATIC-USD,VET-USD,-0.004457394225484523,4.189559683943752
97,MATIC-USD,INJ-USD,7.599026570571856e-05,4.176856844404886
98,MATIC-USD,GRT-USD,0.01516419364032906,4.18152066684143
99,MATIC-USD,TAO-USD,-7.207081828187835e-07,4.186195898932878
100,MATIC-USD,AR-USD,-2.7802875138576355e-06,4.189974934137291
101,MATIC-USD,FLOKI-USD,13.79280821310563,4.180772262541952
102,MATIC-USD,RUNE-USD,0.0006166811499142496,4.197540065820051
103,MATIC-USD,ALGO-USD,0.042946841374205236,4.1682220191146735
104,MATIC-USD,NOT-USD,0.05993072200397309,4.186040417161446
105,MATIC-USD,QNT-USD,1.0276045347350042e-06,4.188473655673764
106,MATIC-USD,FLOW-USD,-0.015293735224556015,4.233401962058531
107,MATIC-USD,STRK-USD,0.0038776565093906687,4.179901998245619
108,MATIC-USD,ENS-USD,0.0002509708335676835,4.186661708422189
109,MATIC-USD,TRUMPWIN-USD,-0.0006012356150795067,4.1874717704038575
110,MATIC-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-253.51982949097874,4.189753669472841
111,MATIC-USD,TRY-USD,0.36442576987162845,4.193957897296854
112,CRV-USD,ADA-USD,0.6044305253016189,8.01033381017724
113,CRV-USD,AVAX-USD,0.0024260006949840436,10.876883933838641
114,CRV-USD,FIL-USD,0.044437400835115645,11.979710259341049
115,CRV-USD,LTC-USD,0.0011098997196358376,11.416528394643137
116,CRV-USD,UNI-USD,0.00490250619230276,10.228621466496628
117,CRV-USD,TRX-USD,0.000983162541247376,10.360099777309731
118,CRV-USD,NEAR-USD,0.0231583301674142,11.504034867721371
119,CRV-USD,XLM-USD,2.339105956405202,10.91392275230917
120,CRV-USD,ETC-USD,0.010773541112536979,10.61621394258682
121,CRV-USD,WLD-USD,0.008440957113544157,10.343136732728372
122,CRV-USD,APE-USD,0.18082046389796746,10.614727918243407
123,CRV-USD,APT-USD,-0.0004053688542230336,10.297604465116118
124,CRV-USD,BLUR-USD,0.1464972463482977,11.097710843301597
125,CRV-USD,LDO-USD,0.09181293776121818,7.818037418155952
126,CRV-USD,OP-USD,0.05432088004629156,10.783642440227407
127,CRV-USD,PEPE-USD,8275.85957354566,10.32622701996829
128,CRV-USD,SEI-USD,0.1311164079244315,10.618508633935804
129,CRV-USD,SHIB-USD,4540.052059002475,11.411005962574707
130,CRV-USD,SUI-USD,0.004951306324859007,10.51289545667345
131,CRV-USD,XRP-USD,0.19275255075034448,9.539656649188819
132,CRV-USD,TIA-USD,0.006749976145409239,10.492041004393482
133,CRV-USD,DEGEN-USD,-0.08630432247089961,10.431541372133102
134,CRV-USD,MOG-USD,-6715640.945287962,7.736199236149648
135,CRV-USD,TRUMP-USD,0.0017288884887569056,10.44378572349783
136,CRV-USD,TREMP-USD,-0.0250235478586045,9.877291458373472
137,CRV-USD,BLAST-USD,-1.2405075751893695,10.39224907806866
138,CRV-USD,DJT-USD,-799.7093030531032,9.713551143244118
139,CRV-USD,IO-USD,0.005349094409238234,10.311377386125178
140,CRV-USD,SC-USD,-2.4309596536306497,10.124844378845161
141,CRV-USD,BOME-USD,1.0074081731029785,9.771523846933679
142,CRV-USD,USA-USD,301.211156622066,10.34930247943186
143,CRV-USD,PONKE-USD,0.04095508269838701,9.919447422574976
144,CRV-USD,MEW-USD,1.8007595212930105,10.392346251671515
145,CRV-USD,MICHI-USD,-0.07250740690318434,9.344710624220228
146,CRV-USD,BNB-USD,0.00011889167278833989,11.206507498848213
147,CRV-USD,DAI-USD,0.8460945530943913,10.336533776028316
148,CRV-USD,KAS-USD,0.011573248514880716,10.392249078068634
149,CRV-USD,XMR-USD,-0.00011490442913107002,10.191938633080879
150,CRV-USD,HBAR-USD,-0.602273610944983,10.07211956353094
151,CRV-USD,OKB-USD,-0.0032106861543092433,11.115688076421279
152,CRV-USD,STX-USD,0.04683612892894026,12.431853136165207
153,CRV-USD,WIF-USD,0.011225578172280775,10.754954536038737
154,CRV-USD,IMX-USD,0.07196120137642492,10.359642191133739
155,CRV-USD,VET-USD,0.8695482077362687,10.358533285628265
156,CRV-USD,INJ-USD,0.005195481408488491,6.712049960714959
157,CRV-USD,GRT-USD,0.6384724374405139,10.92027358789661
158,CRV-USD,TAO-USD,9.590886904268588e-06,10.284316127193437
159,CRV-USD,AR-USD,0.0009289889518776228,10.336533776028617
160,CRV-USD,THETA-USD,-0.008110852830578025,10.281097633546128
161,CRV-USD,FTM-USD,-0.06229832924615944,10.27476930768459
162,CRV-USD,AAVE-USD,0.0005993406066237103,9.625704732678617
163,CRV-USD,RUNE-USD,0.016239904796243,11.347971279043849
164,CRV-USD,NOT-USD,-0.6634267381684462,10.28252747525691
165,CRV-USD,FLR-USD,1.8399436754237781,10.68062022606524
166,CRV-USD,FLOW-USD,0.683111398086891,6.6924470869029955
167,CRV-USD,STRK-USD,0.20445088108071563,9.740622711774186
168,CRV-USD,EGO-USD,13.41705953655985,10.303672312808347
169,CRV-USD,TRUMPWIN-USD,-0.007383765890302277,10.377472635424366
170,CRV-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-25207.693614949418,9.996816798711619
171,CRV-USD,TRY-USD,5.257234595277748,10.516891173532615
172,SOL-USD,WLD-USD,19.53340521835034,12.401181585714054
173,SOL-USD,APT-USD,3.8746308756472447,20.4552449584753
174,SOL-USD,SC-USD,-9017.10015164445,15.406340405314863
175,SOL-USD,BOME-USD,2623.320676817846,14.450328962370204
176,SOL-USD,USA-USD,2827339.2883768873,18.96467113284933
177,SOL-USD,PONKE-USD,132.66821771338567,11.964564310011635
178,SOL-USD,XMR-USD,-0.5960524042388047,14.876244231133482
179,SOL-USD,TAO-USD,0.060031914297735994,18.460527208891452
180,SOL-USD,FLOKI-USD,709999.707232462,7.562630814983532
181,SOL-USD,THETA-USD,-52.003475239395215,18.191843291263183
182,SOL-USD,FTM-USD,-437.8749714036202,17.259571397296337
183,SOL-USD,NOT-USD,-4203.48829032564,18.33185219680589
184,SOL-USD,TRUMPWIN-USD,119.39565164903513,17.754213644887997
185,SOL-USD,"BUFFI,UNISWAP_V3,0X4C1B1302220D7DE5C22B495E78B72F2DD2457D45-USD",-78484190.11814451,13.35811609544078
186,ADA-USD,TRX-USD,-0.2652829679257974,15.093609605752926
187,ADA-USD,SEI-USD,0.22579512761727177,15.057755491468905
188,ADA-USD,TIA-USD,0.012711460886402985,15.04161493868318
189,ADA-USD,BONK-USD,5370.154148157597,14.247056901637533
190,ADA-USD,MOG-USD,-7433500.74410815,11.724197971916853
191,ADA-USD,ZK-USD,1.5363674029353502,12.946805490975986
192,ADA-USD,DJT-USD,-704.2545577141399,16.664348484661147
193,ADA-USD,IO-USD,0.014750841655665252,14.459049630547742
194,ADA-USD,MICHI-USD,-0.08347061612749015,14.080935376865876
195,ADA-USD,INJ-USD,0.007944626509740264,5.921131867729412
196,ADA-USD,FTM-USD,-0.15962725438864778,15.377323531780593
197,ADA-USD,FLR-USD,4.377450297151605,15.568145624352518
198,AVAX-USD,SEI-USD,43.141336761694106,9.605588399709635
199,AVAX-USD,SUI-USD,6.374078825223496,15.875529793399725
200,AVAX-USD,TIA-USD,2.7233969343744335,11.66640557484811
201,AVAX-USD,WIF-USD,5.7480256269873635,11.322480663519759
202,AVAX-USD,STRK-USD,51.492794112081455,14.201171495271801
203,FIL-USD,WLD-USD,0.27874297167944856,14.782663982648819
204,FIL-USD,APT-USD,0.04704198245929743,16.859128746189295
205,FIL-USD,IO-USD,0.25069660325408716,14.695798656649792
206,FIL-USD,SC-USD,-125.02427968848822,13.669454418439736
207,FIL-USD,BOME-USD,40.51656675108334,12.563839689190885
208,FIL-USD,PONKE-USD,1.7255985725380054,13.189909863355009
209,FIL-USD,TAO-USD,0.0007747695708227581,14.97369492436788
210,FIL-USD,THETA-USD,-0.6704998942996946,14.897353352774036
211,FIL-USD,NOT-USD,-54.21750792765466,14.933013886984284
