,base_market,quote_market,hedge_ratio,half_life,z_score
ATOM-USD,MATIC-USD,1.2,4.4,1.3
MATIC-USD,COMP-USD,0.8,11.9,1.8
COMP-USD,XTZ-USD,1.1,7.0,1.5
XTZ-USD,COMP-USD,1.4,4.8,-1.3
MATIC-USD,ATOM-USD,0.9,10.7,1.3
FL-USD,COMP-USD,1.6,9.6,-1.1
COMP-USD,FL-USD,1.2,5.9,-1.5
XTZ-USD,ATOM-USD,1.3,7.9,-1.3
ADA-USD,ALGO-USD,0.7,16.6,1.5
ENJ-USD,CRV-USD,0.9,13.7,1.8
ATOM-USD,ETC-USD,1.4,8.6,1.3
ADA-USD,ALGO-USD,1.5,2.8,2.8
CELO-USD,FL-USD,1.3,10.7,-0.1
FL-USD,COMP-USD,1.6,3.0,-2.8
CELO-USD,YFI-USD,0.8,5.6,0.6
ENJ-USD,FL-USD,1.9,8.8,0.2
YFI-USD,SNX-USD,0.9,17.6,1.5
ATOM-USD,BOT-USD,1.6,2.7,1.7
UMA-USD,LINK-USD,1.1,14.8,5.8
ETC-USD,ATOM-USD,1.7,13.8,1.7
